Sun Jan 23 17:27:45 2022    output.dat

         24747944 function calls (24565425 primitive calls) in 16.254 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1548    0.016    0.000    0.044    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:135(check_format)
    28585    0.016    0.000    0.019    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:208(_name2abs_name)
      616    0.016    0.000    0.034    0.000 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/power_combination.py:77(compute_partials)
118849/21601    0.015    0.000    0.015    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2394(system_iter)
       50    0.015    0.000    0.026    0.001 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:1005(_setup_var_data)
     2373    0.015    0.000    0.015    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
     1155    0.014    0.000    0.031    0.000 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/linear_combination.py:57(compute)
     1528    0.014    0.000    0.138    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/coo.py:330(tocsc)
    15510    0.014    0.000    0.014    0.000 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:497(__init__)
    12314    0.013    0.000    0.013    0.000 {built-in method numpy.empty}
     8086    0.012    0.000    0.044    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
    70/10    0.012    0.000    0.033    0.003 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:907(_resolve_src_inds)
     1177    0.012    0.000    0.042    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:638(add_output)
   172852    0.012    0.000    0.012    0.000 {function _MetadataDict.__getitem__ at 0x7fe8adcb9e50}
     7092    0.011    0.000    0.181    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:80(__init__)
   5135/2    0.011    0.000   15.401    7.701 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:240(_compute_wrapper)
      293    0.011    0.000    0.076    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/linalg/isolve/iterative.py:431(gmres)
     50/5    0.011    0.000    0.035    0.007 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_transfer.py:29(_setup_transfers)
     5618    0.011    0.000    0.012    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_iteration_stack.py:127(__init__)
1574/1564    0.010    0.000    0.101    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/coo.py:126(__init__)
     50/5    0.010    0.000    0.017    0.003 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:1785(_setup_connections)
    16343    0.010    0.000    0.022    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:309(__getitem__)
  6549/33    0.010    0.000    0.011    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:3056(get_responses)
     2696    0.010    0.000    0.031    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/general_utils.py:130(ensure_compatible)
     1503    0.009    0.000    0.035    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:428(add_input)
    37929    0.009    0.000    0.014    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:1782(isscalar)
       32    0.009    0.000    0.034    0.001 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/einsum_comp_sparse_derivs.py:42(setup)
     7062    0.009    0.000    0.012    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:49(_extract_root_data)
     3195    0.009    0.000    0.013    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/node.py:32(__init__)
      434    0.009    0.000    0.023    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:1417(cross)
    228/1    0.008    0.000   15.401   15.401 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/solvers/solver.py:750(_gs_iter)
112140/112038    0.008    0.000    0.008    0.000 {built-in method builtins.len}
  6549/33    0.008    0.000    0.009    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2919(get_design_vars)
    39513    0.008    0.000    0.024    0.000 /usr/lib/python3/dist-packages/numpy/core/_asarray.py:16(asarray)
  5372/28    0.008    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1583(_setup_driver_units)
    44040    0.008    0.000    0.008    0.000 {method 'view' of 'numpy.ndarray' objects}
    26312    0.008    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/options_dictionary.py:239(_assert_valid)
