Sun Jan 23 17:07:00 2022    output.dat

         1523460 function calls (1440650 primitive calls) in 2.255 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4075    0.004    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:870(_get_promotes_call_info)
      586    0.004    0.000    0.011    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:234(_setup_var_data)
      786    0.004    0.000    0.018    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/output.py:9(__init__)
        2    0.004    0.002    0.004    0.002 {built-in method _posixsubprocess.fork_exec}
     3672    0.004    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:49(_extract_root_data)
      445    0.004    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/jacobians/dictionary_jacobian.py:66(_apply)
    612/2    0.004    0.000    0.060    0.030 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1679(_setup_vectors)
    13628    0.004    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/options_dictionary.py:239(_assert_valid)
      770    0.004    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:4419(_get_input_from_src)
    13857    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
        1    0.004    0.004    0.534    0.534 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/visualization/n2_viewer/n2_viewer.py:511(n2)
     1593    0.004    0.000    0.005    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:265(check_shape)
  797/795    0.004    0.000    0.041    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:27(__init__)
    16378    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
    10503    0.003    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/options_dictionary.py:487(__getitem__)
   2448/8    0.003    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2919(get_design_vars)
   2448/8    0.003    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:3056(get_responses)
  586/579    0.003    0.000    0.228    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:134(_setup_procs)
    18583    0.003    0.000    0.015    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/record_util.py:135(check_path)
      608    0.003    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:2316(add_subsystem)
     6646    0.003    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:208(_name2abs_name)
      869    0.003    0.000    0.008    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/utils/get_shape_val.py:6(get_shape_val)
      260    0.003    0.000    0.007    0.000 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/linear_combination.py:57(compute)
    15770    0.003    0.000    0.012    0.000 /usr/lib/python3.8/fnmatch.py:64(fnmatchcase)
     3180    0.003    0.000    0.004    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/coo.py:239(getnnz)
     2511    0.003    0.000    0.003    0.000 {method 'astype' of 'numpy.ndarray' objects}
    14263    0.003    0.000    0.008    0.000 /usr/lib/python3/dist-packages/numpy/core/_asarray.py:16(asarray)
     1593    0.003    0.000    0.004    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:208(isshape)
      797    0.003    0.000    0.006    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:1140(prune)
     1177    0.003    0.000    0.039    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:240(_compute_wrapper)
     2752    0.003    0.000    0.013    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:166(ones)
     1387    0.003    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:4191(_abs_get_val)
     4045    0.003    0.000    0.010    0.000 <__array_function__ internals>:2(copyto)
    21447    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
     1288    0.002    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_iteration_stack.py:127(__init__)
     1645    0.002    0.000    0.003    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/utils/gen_hex_name.py:2(gen_hex_name)
     3104    0.002    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/digraph.py:574(add_edge)
     1399    0.002    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:260(<dictcomp>)
     6515    0.002    0.000    0.003    0.000 {built-in method builtins.getattr}
     26/2    0.002    0.000    0.006    0.003 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:1311(_setup_var_sizes)
     1387    0.002    0.000    0.013    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:4350(get_val)
    18717    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
    10735    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     1836    0.002    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/general_utils.py:336(format_as_float_or_array)
    30568    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
       26    0.002    0.000    0.004    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/utils/graph.py:92(modified_topological_sort)
     6368    0.002    0.000    0.007    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/base.py:238(nnz)
     3264    0.002    0.000    0.003    0.000 /usr/lib/python3.8/contextlib.py:82(__init__)
     4881    0.002    0.000    0.006    0.000 <__array_function__ internals>:2(can_cast)
     53/2    0.002    0.000    0.091    0.045 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/solvers/solver.py:750(_gs_iter)
     4376    0.002    0.000    0.002    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/node.py:133(add_dependent_node)
       16    0.002    0.000    0.014    0.001 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/einsum_comp_sparse_derivs.py:42(setup)
      612    0.002    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1450(_setup_procs)
    22707    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:55(__iter__)
     7198    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:359(asarray)
      586    0.002    0.000    0.028    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:312(_setup_partials)
     4958    0.002    0.000    0.012    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/visualization/n2_viewer/n2_viewer.py:151(_serialize_single_option)
     3673    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:467(get_slice_dict)
