Sun Jan 23 17:07:00 2022    output.dat

         1523460 function calls (1440650 primitive calls) in 2.255 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4045    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/multiarray.py:1043(copyto)
     4026    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
     3977    0.011    0.000    0.028    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:119(get_index_dtype)
     3977    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:508(min)
     3977    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:521(max)
     3966    0.002    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/options_dictionary.py:456(__setitem__)
     3696    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2274(_recording_iter)
     3684    0.001    0.000    0.007    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:83(_initialize_data)
     3684    0.034    0.000    0.050    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:117(_initialize_views)
     3684    0.006    0.000    0.063    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:80(__init__)
     3673    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:467(get_slice_dict)
     3672    0.004    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:49(_extract_root_data)
     3558    0.006    0.000    0.010    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:526(set_var)
     3405    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:74(<dictcomp>)
     3405    0.006    0.000    0.020    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
     3329    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     3323    0.005    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:273(set_val)
     3264    0.002    0.000    0.004    0.000 /usr/lib/python3.8/contextlib.py:117(__exit__)
     3264    0.001    0.000    0.004    0.000 /usr/lib/python3.8/contextlib.py:238(helper)
     3264    0.002    0.000    0.003    0.000 /usr/lib/python3.8/contextlib.py:82(__init__)
     3264    0.001    0.000    0.005    0.000 /usr/lib/python3.8/contextlib.py:108(__enter__)
     3188    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:107(getnnz)
     3186    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3180    0.003    0.000    0.004    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/coo.py:239(getnnz)
     3178    0.001    0.000    0.008    0.000 /usr/lib/python3/dist-packages/numpy/core/_methods.py:28(_amax)
     3178    0.001    0.000    0.008    0.000 /usr/lib/python3/dist-packages/numpy/core/_methods.py:32(_amin)
     3178    0.001    0.000    0.009    0.000 {method 'max' of 'numpy.ndarray' objects}
     3178    0.001    0.000    0.010    0.000 {method 'min' of 'numpy.ndarray' objects}
     3130    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2017(_unscaled_context)
     3107    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
     3104    0.002    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/digraph.py:574(add_edge)
     3088    0.002    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:309(__getitem__)
     3075    0.010    0.000    0.010    0.000 {built-in method numpy.arange}
     3066    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
     2784    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:137(__setitem__)
     2752    0.003    0.000    0.013    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:166(ones)
     2673    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
     2671    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:337(_abs_get_val)
     2608    0.000    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_manager.py:201(_get_all_requesters)
     2524    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
     2511    0.003    0.000    0.003    0.000 {method 'astype' of 'numpy.ndarray' objects}
     2502    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(concatenate)
     2502    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/multiarray.py:145(concatenate)
   2448/8    0.003    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2919(get_design_vars)
   2448/8    0.003    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:3056(get_responses)
     2439    0.001    0.000    0.001    0.000 {method 'update' of 'collections.OrderedDict' objects}
     2393    0.000    0.000    0.000    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/csc.py:230(_swap)
     2366    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2138(_call_user_function)
     2276    0.001    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_transfer.py:17(_merge)
     2236    0.051    0.000    0.051    0.000 {method 'tolist' of 'numpy.ndarray' objects}
     2119    0.001    0.000    0.009    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:364(__setitem__)
     2000    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2282(_static_mode)
     1927    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     1911    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     1840    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/einsumfunc.py:995(_einsum_dispatcher)
1837/1789    0.001    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/general_utils.py:749(<listcomp>)
     1836    0.002    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/general_utils.py:336(format_as_float_or_array)
     1733    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/digraph.py:322(adj)
